112|Andre Broadnax|||||||||||||||Queen Bee & Blue Hornet Band||||U.N.V.|||Xavier||Axel Zwingenberger
Afroskull|Babyface ; http://www.babyfaceonline.com/|C. C. Catch|Bo Diddley|EMI-Capitol R&B Luv Collection (Series)|Denny Freeman|Cecil Gant|Brenda Holloway||Charles Johnson|Eddie Kendricks|Clayton Love|Bill Medley|Marc Nelson|Ohio Express|Dave Powers||Della Reese|Ann Sexton|Danny Tenaglia||Various Artists - R&B/Soul|Baby Washington||Young Zydeco Desperadoes|
Afrowax-Music For The Soul|Back To The 70's Series|C.D. Hawkins And Singers|Douglas, Carl|EMQ Entertainment|Dionne Farris|David Grant|Carla A. Harris||Charlie Jones|Ernie K-Doe|La Salle, Denise |Bitty McLean|Meshell Ndegeocello|Ohio Players|David Peaston||Diana Ross|St. Martin, Armand|Dennis Taylor||Various Artists - R&B/Soul - Doo Wop|Barry White||Youngbloods|
After 7|Backlive|C.O.A.|Dion, Celine|Earl King|Donald Fagen|Davis Gaines|Charlie Hunter||Chuck Jackson|King, Evelyn "Champagne" ||Bob Marley|Milton Craig Nealy|Ohio Singers|David Porter||Donna Renee|Bettye Swann|Doris Troy||Various Artists - R&B/Soul - Funk|BeBe Winans||Youngbucks|
After Hours|Backstreet Boys|C4 Entertainment|Champion Jack Dupree|Early American Blues Classics (Series)|Eboni Foster|Debbie Grant|Chico Hamilton||Cliff Jackson|Frankie Knuckles|Eddie Levert|Bobby Marchan|N'Dambi|Okeh Rhythm & Blues (Series)|Dean Phil||Eddie Robinson|Bill Sims|Ed Townsend||Various Artists - R&B/Soul - Motown|Bernie Worrell||Yetti ; http//www.yettiband.com/|
Ahmad|Baddest Love Jams (Series)|CR|Cheryl Daniels|Early American Rural Music (Series)|Eboni Fostor|Debbie Gravitte|Cissy & Whitney Houston||D.D. Jackson|Freddie Keppard|Elisha La'verne|Bobby McClure|N.W.A.|Okeh Soul|Frankie Paul||Eivets Rednow|Billy Stapleton|Edna Tatum||Velons|Betty Washington||Younglove, Doreen ; http//www.doreenyounglove.com/|
Aim|Baizura, Ning|Cadillacs/Orioles|Chico DeBarge|Early Girls (Series)|Eddie 'little Buster' Forehand|Gillespie & The United Nations Orchestra, Dizzy|Cissy Houston||Deb Jenkins|Freddie King|Eloise Laws|Bobby Mitchell|NDR Big Band|Ol Dirty Bastard|Freda Payne||Eros Ramazzotti|Billy Stewart|Evelyn Thomas||Velvelettes|Betty Wright|||
Ain't Misbehavin' (Related Recordings)|Baktabak Interview (Series)|Cafe Music (Series)|Chris Dreja|Earth Wind & Fire ; http://www.earthwindandfire.com/|Eddie Floyd|Dobie Gray|Clarence 'frogman' Henry||Debra Jackson|Frederick Knight|Ephraim Lewis|Brian McKnight ; http://www.brian-mcknight.com/|Nadanuf|Ol Skool|Freddy Pink||Fred Ross|Brenda K. Starr|Frank Tate||Vera/Clay|Bill Withers|||
Al B. Sure|Bambu|California Raisins|Clinton Daniel|Earth Wind & Fire (Tribute)|Erma Franklin|Donny Gerrard|Clint Holmes||Deon Jackson|Gladys Knight|Frankie Lee|Brigette McWilliams|Nade|Ola Onabule|George Porter Jr.||Freddie Roach|Bunny Sigler|Gary Taylor||Veronica|Bobby White|||
Al Fred & the Acid Soul Conn|Band Of Oz|Cameo ; http://www.Cameo2002.com/|Cornell Dupree|East Bay Rhythm|Ernie Freeman & His Comb|Doris Gramby|Damon Harris||Donell Jones ; http://www.donell-jones.com/|Glenn Kaiser|Funky London|May, Brother Joe |Nadine|Old And New Dreams|Houston Person||Fritz Renold|Candi Staton|Gina Thompson||Verve Jazz Masters (Series)|Bobby Womack|||
A Few Degrees Cooler (Series)|Band With No Name, The ; http//www.thebandwithnoname.co.uk/|Cameron|Craig David|East Side Story (Series)|F.A.T.E.|Earl Gaines|Dan Hartman||Doris Jones|Jean Knight|Gabriel Le Mar|Brownie McGhee|Naif|Old School (Thump Series)|Janice Price||Herbie Russ|Carl Sims|Glenn Turner||Vesta||||
Alfa One Seven|Bar-Kays, The|Campbell Bros.|D'Angelo ; http://www.dangelosangels.com/|Ebone`Soul|Fab II|Eric Gale|Darren Hale||Elena Joyner|Jeff Krassner|George Lamond|Buddy Miles|Najee|Old School Funk (Series)|Jerry Portnoy||Inga Rumpf|Carrie Smith|Tony Orchestra Valor||Vince Vance & Valiants|Brandi Wells|||
Ali|Barbie|Candy Yams & The Bluesville Express|D'Vine|Ebonys|Fam-Lee|G-Clef & Camille|Daryl Hall||Elton John|Jim Kahr|Gerald Levert|Carl Martin|Naked Music Nyc|Old School Love Songs (Series)|Jesse Powell||J.J. Reneaux|Chantay Savage|Howard Tate||Vinegar Joe|Brenton Wood|||
All Saints|Barbie & The Kens|Canton Gospel Soul Children|D-Note|Ecstasy Passion & Pain|Family|G-Ism|Dave Holland||Ernie Johnson|K-Ball|Glenn Lee|Carolyn Mathis|Nas|Old School Mega Mix (Series)|Jimmy Parsons||James Ray|Charlie Smalls|Ike Turner||Vintage Collectibles (Series)|Bruce Willis|||
All That|Barebones|Capitols|D. Train|Eddie Harris|Family Stand|G-Man|Delilah Harris||Etta James|K-Ci|Hattie Littles|Chante Moore ; http://www.chantemoore.net/|Nas-T|Old School Mixx (Thump Series)|Joe Pass||Jerome Richardson|Chris Spedding|Irma Thomas||Vintage Funk|Carolyn Walden|||
All-4-One ; http://www.all4onelive.com/|Barons|Capitols/Deon Jackson|D12|Eighty-Eight-Three|Family Tree|Gablz|Donny Hathaway|||K-Ci & Jojo ; http://www.kciandjojo.com/|Iry LeJeune|Charles Mingus|Nasty Blues (Series)|Old Town Blues (Series)|Kelly Price||Jim Reeves|Chuck Strong|James Taylor||Viper's Freestyle Hit Parade (Series)|Caron Wheeler|||
Allure|Barrio Boyzz|Captain Sky|DDP|El Chicano|Fantasy|Gabrielle ; http://www.gabrielle.co.uk/|Duke Henderson||Johnson, Frank O|K.C. & The Sunshine Band|J. Little|Charles Moore|Nathan & The Zydeco Cha-Chas|Old Town Doo Wop (Series)|Lenny Pickett||Jimbo Ross|Clement SkyGazer|James Tobin||Vocal Pointe|Weldon, Casey Bill |||
Ally McBeal TV Series Soundtracks|Bartholomew, Dave|Carlo|DJ Don's Party Mix|El Stew|Fantasy/Valor|Galactic ; http://www.galacticfunk.com/|Eddie Hall||Fred James|KC|Jennifer Lopez|Chet McCracken|Naughty By Nature|Olivet-Oakland Choir|Lenny Price||Jimmy Reed|Clyde Stubblefield|James Treadwell||Vogues|CeCe Winans|||
Althaus Quartet|Basement App.|Carmichael|DJ Jazzy Jeff & The Fresh Prince|Elements Of Life|Fast Freddie's Fingertips|Galaxy|Eddie Hazel||Freddie Jackson|Kabudi|Jimmy Lewis|Clara McDaniel|Navarro/Stitt/Powell|Ollie & the Nightingales|Lou Pride||Jimmy Roselli|Dan Sinasac|Jason Taylor||Voices Of Theory|Charles Wright|||
Am. Folk Blues Festival '63|Bass|Carnival Of Soul (Series)|DJ Nut Nut|Eli & K Serrah|Fat Larry's Band|Galliano|Eddie Hinton||Freddie James|Kai|Johnny Littlejohn|Clyde McPhatter|Nayobe|Olu|Lucky Peterson||Johnnie Ray|David Simmons|Jimmy Tate||Voices of East Harlem|Charlie Wilson (R&B)|||
Am. Folk Blues Festival '63-'67|Bass Master Kahn|Case|DJ Rap|Eliza Band|Fat Larry's Band/Wells|Gap Band|Eddie Holloway||Garland Jeffreys|Kain|Lewis, Johnny Quartet|Curtis Mayfield|Nelly|Olympics|Paul, Lynsey De ||Juliet Roberts|Dede Saint-Prix|Joe Tex||Volume 10|Chris Walker|||
