|||||||||||||||||||||||||||||||||||||||||||||||||||
Brian Ales|Barungwa|Yvette Cason|Wild Bill Davison|Kurt Elling|Nick Fatool|Gabriela|Camille Howard||Andy Just|Kaye/Elgart|Robert Lowery|Lucky Millinder|Nes Lort|Lisa Otey|Joanie; Vente, Marshall Pallatto||Ross William Perry Band|Smokestack Lightnin`|Tani Tabbal||Virginia Mayhew Sextet|Page Wilson and Reckless Abandon|||||Alain Caron|Cecil McBee Band|Dave Shepherd Quintet|Ella Mae Morse|Frank Frost|George Shearing|Henry "Red" Allen||Jane Monheit|Khalil Chahine|Legendary Big Band Vocalists|Mark Griffith|Niacin||Paul Tardif||Red Parrot Orchestra|Sebastian Whittaker|The Bebop Vocalists|||William Parker|||
Ralph Alessi and Modular Theatre|Paul Bascomb|Amadee Castenell|Davison/Welsh|Duke Ellington|Fattburger|Steve Gadd|Larry Howard||Just Blues|Takashi Kazamaki|Gary Lucas|Jean Jacques Milteau||Other Dimensions In Music|Jeff Palmer||Arlen Roth|Little Smokey Smothers|June Tabor||Virtuosity|Roger 'Hurricane' Wilson|||||Alain Goraguer|Cecil Parker|Dave Sletten|Ellen Edwards|Frank Gambale|George Siravo|Henry Busse||Janet Marlow|Khan Jamal|Legendary Standards|Mark Hasselbach|Nicholas Payton||Paul Taylor||Red Prysock|Second Nature|The Best Of Luv N' Haight (Series)|||Williams, Gary |||
Ashley Alexander|Basic Jazz (Series)|Pepe Castillo|Ernest Dawkins & New Horizons|Mercer Ellington|Dan Quartet Faulk|Sylvain Gagnon|Rosetta Howard||Amyl Justin||Robert Lucas|Richie Milton & The Lowdown|Sammy Nestico|Other Quartet|May Palmer||Freddie Roulette|Elmer Snowden|Tacabanda||Visby Big Band/Wickman|Smokey Wilson|||||Alain Marquet|Cecil Payne|Dave Thrush|Ellen Robinson|Frank Gant|George Small|Henry Butler||Janet Quintet Lawson|Khan/Mounsey|Lehel & Schindler|Mark Helias|Nicholas/Elsdon||Paul Togawa||Red Quintet Rodney|Second Vision|The Beverley Sisters|||Williams, Joe |||
Daryl Alexander||Geoff Castle|Dawn At Josiah's Bay|Roz Ellington|Malachi, Aoki, Tatsu Favors|Slim & Slam|Peg Leg Howell|||Kazda|Lucille|Roy Milton|The Netherlands Metropole Orchestra|Johnny Presents Otis|Palmer/Ambercrombie/Blythe/Lew||Rowe, Andrea|James Solberg|Jamaaladeen Tacuma||Gus Viseur|U.P. Wilson|||||Alan Broadbent Trio|Cecil Taylor|Dave Tucker|Ellen Whyte And Reflex Blue|Frank Griffith|George Van Eps|Henry Cook Band||Jango|Khani Cole|Leif Wennerstrom|Mark Isham|Nichols/Napoleon||Paul Trio Smoker||Red Richards|Secret Society|The Billie Holiday Story (Series)|||Williams, Ronnie |||
Eric Alexander|Count Basie|Jo Ann Castle|Jerome Dawson||Pierre Favre|Roy Gaines|Howlers|||Brian Keenan|L.C. Luckett|Milwaukee Slim|Nettai Tropical Jazz Big Band|Roberto Ottaviano|Charlie Palmieri||Ruby & The Romantics|Jo?El Sonnier|Tacuma/Alston||Vital Information|Wine Wine Wine|||||Alan Clare|Cecilia Coleman|Dave Turner|Ellery Eskelin|Frank Jazz Mantooth|George Wallington|Henry Grimes||Janice Borla|KHIH 95.7 Smooth Jazz (Series)|Leimgruber/Hauser|Mark Izu|Nick At Nite Records (Series)||Paul Urban Band||Red Rodney|Section 8|The Billy Tipton Memorial Saxophone Quartet|||Williams/Davis/Burrage|||
Glenn Alexander|John Basile|Oscar Castro‑Neves|Lois Dawson|Richard Elliot|Zenith Hot Stompers|Galactic|Howlin' Wolf|||Wayne Keenan|Lucky Seven|Mimi & The Snakes|Rene Netto & Sounds Of New Orleans|Outside|Eddie Palmieri||Rude Mood|Johnny Sonnier|Tadia||Lito Vitale|Johnny Winter|||||Alan Elsdon Band|Cecilia Smith Quartet|Dave Valentin|Elling, Kurt (6) |Frank Kimbrough|George Wein|Henry Group Robinett||Janice Jazz Quartet Friedman|Kibwe/Weidman|Leitch/Hicks|Mark Jacoby|Nick Bisesi||Paul Ventimiglia||Red Skelton|Segal-Garcia, Cathy |The Blackbyrds|||Williams/Vinnegar|||
Jason Alexander|Basin Street Six|Mario & Roadside Pi Castronari|Courtenay Day|Dave Ellis|Rick Fay|Eric Gale|Johnny Hoy||J Street Jumpers|Keep Your Shirt On Band|Steve Lucky|Ministers Of Sinister|Roger Neumann|Outsidemen|Palmieri/Ruiz||Rue De Blues|Sons Of The Pioneers|Miroslav Tadic||Miroslav Vitous|Rev. Billy C. Wirtz|||||Alan Haven|Cedar Walton|Dave Van Kriedt|Elliot Levine|Frank Kvinge|George Wettling|Henry Johnson||Janice Scroggins|Kid Chocolate's Original Creole & Soul Band|Lello Molinari|Mark Jefferis|Nick Brignola||Paul Vornhagen||Red Whale|Sei DeMarks|The Blue Note Years (Series)|||Willie "Big Eyes" Smith|||
Monty Alexander|Larry Baskett|Frank Catalano|Doris Day|Herb Ellis||Galen Jeter|Hucklebucks||J.R. Montrose Quartet|Geoff Keezer|Jimmie Lunceford|R.J. Mischo||Kieran Overs|Patrick Palomo||Pete Rugolo|Soul Drivers|Tahar||Vitous/Garbarek/Erskine|Larry Wise|||||Alan Hovhaness|Celea/Couturier|Dave Venn|Elliot Namay|Frank Loesser (Tribute)|George Winston|Henry Kaiser||Janiece Jaffe|Kid Merv|Lem Fowler|Mark Kleinhaut|Nick Colionne||Paul Warburton|||Seis Del Solar|The Blue Wisp Big Band|||Willie Akins|||
Ray Alexander|Bass Drum Bone|Michael Cates|Giovanni De Chiaro|John Ellis|Alice Faye|Greg Gales|Hudson Blues Band|||Stanley Thomas Keiser|Nellie Lutcher|Mission of Blues|Charles Neville||||The Deric Rush Band|Soulsetters Rockin` Blues Band |Masayoshi Takanaka||Roseanna Vitro|Jimmy Witherspoon|||||Alan Joseph|Celeste Dorage|Dave Weckl|Elliott Adams|Frank London|George Young|Henry Lascoe||Janis Siegel|Kid Ory|Lem Winchester|Mark Knopfler|Nick Fatool||Paul Wertico||Redd/Hawes|Sekouba Bambino Diabate|The Boilermaker Jazz Band|||Willie Bobo|||
Alexander von Schlippenbach|Bass Talk (Series)||Joey De Francesco|Lisle Ellis|Frances Faye|Cheryl Gallagher|Ed 'Fats' Hudson||JFK Quintet|Keith Jarrett (Tribute)|Martin Luther|Mississippi Matilda|New & Used|Oversize Quartet|Pan Ramajay Productions||Bobby Rush|Angel South|Aki Takase||Viva Brasil|Wood's Famous Blind Jubilee Singers|||||Alan Pasqua|Celia Cruz|Dave Whitney|Elliott Ranney|Frank London|Georgia Kelly|Henry Mancini||Jannetta|Kid Sheik|Lem Winchester Sextet|Mark Kramer Trios, The |Nick Levinovsky||Paul Weston||Reed Renaissance|Selah Jubilee Singers|The Boogie Woogie Boys|||Willie Bryant|||
Alexander/Brown/Ellis|Tranquility Bass|The Catholics|Rein DeGraaff|Pee Wee Ellis|Raphael Fays|Joe Gallant|Luther Huff||JK|Arthur Kell|Bill Lyerly |Mississippi Mudsharks|The New Birth Brass Band|Chuck & The Jazz Surge Owen|Febian Reza Pane||Otis Rush|Southbound Train|Take 6||Vivek Mathew & Casey Haskins|Vishnu Bill Wood|||||Alan Price|Centipede|Dave Widelock|Ellis Larkins|Frank Lowe|Georgians|||Janos Starker|Kid Sheik & Brother Cornbread|Lemzo Diamono|Mark Ledford|Nick Rolfe||Paul Whiteman||Reed Robins|Seleno Clarke|The Brad Powell Expedition|||Willie Colon|||
Lorez Alexandria|David Basse|Matt Catingub|Alex De Grassi|L.S. Ellis|Irving Fazola|Louis Gallaud|Joe "Guitar" Hughes||J.W. Jones Blues Band|Roger Kellaway|Brian Lynch|Mississippi Sheiks|New Black Eagle Jazz Band|Sandy Owen|Peter Pannke||Patrice Rushen|Southeast Sounds|||Vivendo De Pao|Buddy Woods|||||Alan Roubik|Cephas & Wiggins|Dave Young|Ellis Marsalis|Frank Mantooth Jazz Orchestra|Georgie Auld & His Orchestra|Henry P. Warner||Jared Stewart|Kid Shiek Cola|Len Bryant|Mark Levine [Piano]|Nick Rossi Set, The ||Paul Winter||Reed, Francine |Selfhaters|The Bradley Williams Trio|||Willie Hill|||
Xiomara Alfaro|Johnnie Bassett|Sid Catlett|Philip Degruy|Ellis/Green|Leonard Feather|Galliano|Bill Hullett||Jacintha|Martin Quintet Keller|Barbara Lynn|Mississippi Slim|New Blue Horns|Clavin Owens|Paolo Achenza||Jimmy Rushing|Clarence Spady|TakeDake; John Kaizan Neptune||Vivino Brothers|Ike Woods|||||Alan Shorter|Certificates|Davell Crawford|Ellis Paul|Frank Morgan|Georgie Fame|Henry Threadgill||Jarman/Jenkins|Kid Thomas & His Algiers|Lena Horne|Mark Lewis|Nicky D||Paul, Erika ||Reeves, Dianne |Selva|The Braxton Brothers|||Willie Humphrey|||
Kilo Ali|Piero Bassini|Dave Catney|Walfredo De Los Reyes|Ellis/Ochs/Robinson|Byron Febbs|Frederic Galliano|Helen Humes||Jack Grassel and Ernie Adams|The Keller/Kocher Quartet|Trudy Lynn|Bobby Mitchell|New Brew|Kelly Owens|Papa Bue's Viking Jazz Band||Claudia Russell|Charlie Spand|Itoh Takeshi||Jerry Vivino|Kipori 'Baby Wolf' Woods|||||Alan Silva|Cesar Garcia|Dave's True Story|Ellis/Green|Frank Morgan Quartet|Gerald Albright|Herb Alpert||Jarman/Moye|Kid Thomas & His Algiers Stompers|Lena Jansson|Mark Little|Nico Morelli||Paula Gardiner||Reeves/Simeon|Senante/Milanes|The Bridge|||Willie Lee|||
Rashied Ali|Batacumbele|Cats & The Fiddle|Paco De Lucia|Ellis/Smith|John Fedchock|Richard Galliano|Mark Hummel|||Pat Kelley|Shelby Lynne|Mckinley Mitchell|New Cool Collective (Series)||Papa Bue's Viking Jazzband||Kevin Russell|Otis Spann|||Allen Vizzutti|Mitch Woods|||||Alan Simon|CFM Band|David "Fathead" Newman|Ellis/Ochs/Robinson|Frank Motley|Gerald Jay Markoe|Herb Ellis||Jarmo Savolainen|Kid Thomas & The New Black Eag|Lena Willemark|Mark Mahar|Nicolas Bearde||Paula Hatcher||Reference Jazz Etc.|Sense Of Direction|The Brothers WHALEN|||Willie Lewis|||
Alien Soap Opera|Django Bates||Vinicius De Moraes|Liberty Ellman|Hans Feigenwinter|Karen Gallinger|Hunt, Kelley||Jack Jones|Rick Kellis|Lynwood Slim|Sam Mitchell|New Directions||||Leon Russell|Sparks Brothers|Talkin' Verve: Roots Of Acid Jazz (Series)||Vizzutti/Shew/Dimartino|Phil Woods|||||Alberg/Mansson|Chad Rager Modern Big Band|David Ake Group|Ellis/Smith|Frank Orchestra Wess|Gerald McCauley|Herb Geller||Jarreau, Al |Kidd, Carol |Leni Stern|Mark Marino & Frank|Nicolas Simion||Paula Robison||Regen, Jon |Sentimental Ballads|The Cadwallader/Chevan Duo|||Willie Maiden|||
Aliotta/Haynes/Jeremiah|Phil Bates|Carmen Cavallaro|Sidney De Paris|Elmo Hope|Michael Feinstein|Alfred Gallodoro|Alberta Hunter||Jack Ranelli Big Band|Tom Kellock||Willie Mitchell|New England Jazz Ensemble|Tony Oxley|Papa Joe's All Stars||Rufus Russell|Doris Spears|Talking Pictures||Eric Vloeimans|Val Woods|||||Albert Ammons|Chainsaw Jazz|David Allyn|Elly Wright|Frank Portolese|Gerald Veasley|Herb Hall||Jarrett, Edmonia |Kieran Overs|Lennart Aberg|Mark Marquis|Niebla/Forcione||Paula West||Regeneration|Sentimental Journey (Series)|The Californian Ramblers|||Willie Nelson|||
Don Aliquo|Tyler Bates||Wilbur De Paris|||Jim Galloway|Ivory Joe Hunter||Jack West & Curvature|Jon‑Erik Kellso||Don Mock|New Grass Revival|Keith Oxman|Charles Papasoff||Ruthless Blues|Pete Special|Talyn Duulal||Vocal Summit|Big John Wrencher|||||Albert Ayler|Chait, Izzy |David Amram|Ellyn Rucker|Frank Potenza|Gerald Wiggins|Herb Pedersen||Jarvis/Leonhart|Kiki Ebsen|Lenni-Kalle Taipale Trio|Mark Masters Jazz Orchestra|Niels H.O. Pedersen Trio||Pauline Wilson||Reggie Ensemble Workman|Sentimental Journey Orchestra |The Carl Michel Group|||Willie Pickens|||
|Ashwin Batish|Page Cavanaugh|Irio DePaula|Roy Elridge|Victor Feldman|Galloway/Mcshann|James Hunter||Jackalope|Kelly Brand Sextet||Johnny Moeller|New Jazz Spectrum (Series)|Oyate|Fausto Papetti||RX Blues |Speckled Red|Tamba 4||Vocalists|Bill Wright|||||Albert Burbank|Chaka Khan|David Azarian|Elmer Bernstein|Frank Quartet Dibussolo|Gerald Wilson|Herb Robertson||Jas Syndicate |Kikoski/Gomez/Foster|Lennie McBrowne|Mark Murphy|Niels Jorgen Quintet Steen||Paulinho Da Costa||Reggie Watts|Sephardic Tinge|The Casa Loma Orchestra|||Willie Rodriguez|||
Bjorn Alke|Alvin Batiste|Laura Caviani|Andre De Shields|Mitch Elrod|Felice Pomeranz Jazz Quartet|Hal Galper|Larry Hunter||Jacki & Roy|Bev Kelly||John Mohead|New Jazz Wizards|Oyster Band|Paradise City Jazz Band|||Dave Specter|Tamia||Karsten Vogel|Billy Wright|||||Albert King|Champion Jack Dupree|David Baker|Elmer Snowden|Frank Quintero|Gerard|Herbie Hancock||Jasmin Böttger|Kilauea|Lennie Niehaus|Mark Nauseef|Niels Lan Doky||Paulinho Garcia||Reggie Workman|Serge Chaloff|The Catholics|||Willie 'The Lion' Smith|||
Alky Danikas|Batiste/Conti Jazz Band|Ceccarelli/Chantereau/Padovan|Raul De Souza|Steve Andrew Elson|Felix and All The Cats Swing Band|James Galway|Long John Hunter||Jackson 5|Edward Kelly||Larry Mohr|New Jersey Kings||Paradox Trio|||Joseph Spence|Tangerine Awkestra||Vic & Le Jazz Big Band Vogel|Marva Wright|||||Albert Mangelsdorff|Chanela|David Balph|Elmo Hope|Frank Rosolino|Gerard Carelli|Herbie Hancock (Tribute)||Jason Alexander|Kilgore, Rebecca |Lennie Tristano|Mark Nightingale|Niels?Henning Orsted Pedersen||Paulinho Trompete||Reggie Young|Sergio Bore|The Charleston Chasers|||Willie Williams|||
All Star Christmas Jubilee|Batman (Related Recordings)|Cecil McBee Band|Tomas De Utrera|Carol Emanuel|Eric Felten|Gamalon|Hurry Down Sunshine||Paul Jr. Jackson|Gene Kelly||Mojo|New Morty Show|Makoto Ozone|Suara Parahiangan|||Elvin Spencer|Tangerine Dream||Vogue In Paris Highlights|Rob Wullenjohn|||||Albert Nicholas|Changamire |David Basse|Eloise Laws|Frank Sinatra|Gerard Gustin Onzet|Herbie Harper||Jason Linder|Kilo Ali|Lenny Breau|Mark O'Connor|Nigel Kennedy||Paulus Potters||Regina Carter|Sergio Mendes|The Chicago Jazz Ensemble|||Willis Jackson|||
All Star Jam Session|Harold Battiste|Cecilia Smith Quartet|Laurent De Wilde|Randy Emata|Felton/Knepper|Frank Gambale|Mississippi John Hurt||Anthony Jackson|Georgia Kelly||Mojo Blues Band|New New Orleans Music (Series)|Ozzie Nelson & His Orchestra|Paramount Jazz Band Of Boston|||W. C. Spencer|||Voices Of Cool (Series)|Rick Wurzbacher|||||Albert Wynn and His Gutbucket Seven|Chapter III Classics (Series)|David Benoit|Elsie Carlisle|Frank Sinatra & Tommy Dorsey|Gerard Navlet|Herbie Mann||Jason Marsalis|Kim Angelis|Lenny Kravitz|Mark Portmann|Nigel Thomas Quintet ||Payton/Anderson/Martin/Thomas||Regina Whitcomb|Sergio Salvatore|The Chrysanthemum Ragtime Band|||Willis/Mcbee/Bartz|||
All Stars|Phyllis Battle|Jean Paul Celea|Bill DeArango|Jerry Embree|Fensters||Hurtin Blues Band||Brian Jackson|Julie Kelly|L'Art Vocal (Series)|Mojo Vision|New Orleans||Lou Pardini|||Spikedrivers|John Quintet Tank||Volapuk|Bill Wyman|||||Alberta Hunter|Charged Particles|David Berger|Elton Dean||Gerd Dudek|Herbie Nichols||Jason Miles|Kim Parker|Lenny MacDowell|Mark Quartet Lewis|Night Ark||Pe De Boi||Reginald R. Robinson|Severi Pyysalo|The City Beat|||Wills, Bob |||
All Stars Big Band (Series)|Stefan Bauer|Celea/Couturier|Buddy DeFranco|Emery Davis Quartet|Mordy Ferber|Jose Luis Gamez|J.B. Hutto||Chip Jackson||The L.A. Four|Molten Mike|New Orleans Band||Jorge Pardo|||Tony Spinner|Ben Tankard||Julie Volkmann|Gail Wynters|||||Albion Jazz Band||David Berkman|Elvin Jones|Frank Stallone|Geri Allen|Herbie Russ||Jason Moran|Kim Pensyl|Lenny Pickett|Mark Quintet Taylor|Night Train||Peanut Vendor||Reginald Veal|Sex Mob|The Clark Sisters|||Wilson Jermaine Heredia|||
Mini All Stars|Alex Baum|Oscar Celestin|Gloria DeHaven|James Emery|Lionel Ferbos|Gamut of Crime|Josh Hyde||Chubby Jackson|Nancy Kelly|L.A. Jazz Choir|Ramona Monique|New Orleans Brass Bands||Pardo/Dominguez|||Arthur 'Big Boy' Spires|Arturo Tappin||Dan Voll||||||Aldemaro Romero|Charito|David Binney|Elvis Costello|Frank Strazzeri Trio & Quartet|Germaine Bazzle|Herbie Trio Brock||Jason Rebello|Kim Richmond|Lenny Price|Mark Reichle|Night Trains||Peanuts (Related Recordings)||Reid/Moore||The Classic Jazz Quartet|||Wilson, Cassandra |||
All The Best (Series)|Jamie Baum|Aaron Kabir Celious|Jack DeJohnette|Emil Richards & Jazz Knights|Jim Ferguson|Leo Gandelman|||Cliff Jackson||L.a. Jazz Syndicate|Mono Officio Blues Band|The New Orleans C.A.C. Orchestra||Tony Parenti|||Bud Spires|Horace Tapscott||Andreas Vollenweider||||||Alden/Van Eps|Charles Blenzig|David Blake|Emanuel Sayles|Frank Vignola|German Jazz Orchestra|Herbineaux||Jasper Van't Hof|Kim Waters|Lenny White|Mark Scholz|Nightcaps||Pearl Django||Rein DeGraaff|Sfogliare Albi|The Columbus Jazz Orchestra|||Wilson, Nancy |||
The Allan Chase Quartet|Baumeister Duo|Claudio Celso|Lea DeLaria|Emily Remler (Tribute)|Maynard Ferguson|Ganelin Trio|||D.D. Jackson|Patrick & Psychoacoustic Kelly|L.a. Transit|Jean?Marc Montera|New Orleans Classic Jazz Orche||Mario Parga|||Spivey Sisters|Paul Tardif||Von Bulow Trio/Allan||||||Aldo Quartet Romano|Charles Brown|David Britten|Emery Davis Quartet|Frank Walton|Gerry Beaudoin|Heritage Hall Jazz Band||Java Trio and Momentum Quartet |Kimiko Itoh|Lenora Zenzalai Helm|Mark Sganga|Nightcaps, The ||||Reiner Regel|Sgt. Jerry Gray|The Comedian Harmonists|||Wilsons|||
Allan Vache|Peter Baumgärtner|Centipede|DeLaria/Robinson/Callen/Near/Kowalczyk/Shaw|Tommy Emmanuel|Ferial|Vyacheslav Ganelin|H.B. Radke & the Jet City Swingers||D.d. & Guests Jackson|Rickey Kelly|La Banda|Little Brother Montgomery|New Orleans Hot Shots||Anca Parghel|||Victoria Spivey|Tardo Hammer||Voo Doo Phunk||||||Ale Moller|Charles Certain|David Bromberg|Emil Palame|Frank Wess|Gerry Gibbs|Herlin Riley Quintet||Javier Paxarino|Kimmons, Sonji |Leo Gandelman|Mark Shim|Nighthawks||Peck Allmond||Reiner Winterschladen|Shabazz 3|The Crown Project|||Wilton Gaynair|||
Jan Allan|Mario Bauza|Cephas & Wiggins|Paul DeLay|Emperors New Clothes|Peter Ferko|Dave Gannett|HMA Salsa & Jazz Orchestra||Duffy Jackson|Shane Kelly|NG La Banda|Monte Montgomery|New Orleans Jazz|O.T.T. Chicago Swing |Tiny Parham||R.A.C.E.|Spoonful James|Gregory Tardy||Paul Vornhagen||||||Alegre (Sextett) Correa|Charles Cochran|David Bubba Brooks|Emil Richards|Frank Wess/Harry Edison|Gerry Hemingway|Herman Chittison||Javon Jackson|Kind, Roslyn |Leo Kottke|Mark Simmonds|Nik Tyndall||Pedro Eustache||Reiner, Estelle |Shades Of Blue Orchestra |The Crusaders|||Winard Harper|||
Steve Allee|Les Baxter|Terri Cerritto|Clifton DeMarks|Encore|Fernando Jazz Gang|Frank Gant|Lola Haag||Ed Jackson|Wynton Kelly|A La Carte Brass & Percussion|Coco Montoya|New Orleans Jazz Band|Old Rummies Jazz Jam Band |||RAOUL|Mark 'Bon Ton' St. Mary|Tarik Husseini Quartet||Voss||||||Alejandro Santos|Charles Davis|David Charles|Emil Richards & Jazz Knights|Frank Zappa|Gerry Hemingway Quintet|Herman, Woody ||Jay|King & Moore|Leo Maiberger|Mark Simon Ensemble|Niko Schauble||Pedro Guzman||Reinhard Lakomy|Shades Of Brown|The Cure (Tribute)|||Wind Machine|||
Mike Allemana|The Bay City Jazz Band|Charles Certain|Sei DeMarks|Encore (Rap)|Russell Ferrante|Garage a Trois|Andy Haas||Franz Jackson|Kelly/Payne|Pete La Roca|Mark Moody|New Orleans Klezmer All Stars|Omar's Basement |Paris Africans||RCA Victor 80th Anniversary (Series)|Houston Stackhouse|Eldad Tarmu||Vox One||||||Alex Acuna|Charles Earland|David Chesky|Emile Barnes|Frankie Carle|Gerry Mulligan|Herman/Puente||Jay Anderson|King Britt|Leo Parker|Mark Soskin|Nikolai Kapustin||Pee Wee Crayton||Reinhardt/Rostaing|Shades Of Jade|The Dave Glasser/Clark Terry/Barry Harris Project|||Windborne|||
Carl Allen & The Manhattan Project|Bazillus|Certificates|John DeSalme|Johannes Enders|Jean Ferrat|Jan Garbarek|Jeff Trio Haas||Fred Jackson|Hal Kemp|La Rodven Big Band|Fred Moolten|New Orleans Naughties|One By 6 |Paris Reunion Band||RST Records: Early R&B (Series)|Stan Webb's Chicken Shack|Brian Tarquin||Cuong Vu||||||Alex Baum|Charles Fambrough|David Chevan and Warren Byrd|Emiliano Salvador|Frankie Carle & His Orchestra|Gerry Mulligan All-Star Tribute Band|Hermeto Pascoal||Jay Beckenstein|King Curtis|Leo Smith|Mark Spiro|Nils||Pee Wee Ellis||Reisterstown Jazz Ensemble |Shades Of Kenton Jazz Orchestr|The Dave Goldberg Quartet|||Windham Hill Records Guitar Sampler (Series)|||
Eddie Allen|Germaine Bazzle|Chad Rager Modern Big Band|B. G. DeSylva|Sidsel Endresen|Bob Ferrazza|Garbarek/Brahem|Habarigani||Javon Jackson|Ken Burns JAZZ Collection|Steve La Spina|John Mooney|New Orleans Nightcrawlers|Orange Lake Drive |Paris Washboard||George & Company Rabbai|Joe Stanley Sextet|Tarquin/Standring/Millar/Hinds||Larry Vuckovich||||||Alex Bugnon|Charles Gayle|David Cullen|Emily Remler|Frankie Laine|Gerry Mulligan Quartet|Hernquist/Carnegie Jazzband Or||Jay Bezz|King Douglas & Bourbon St. Dix|Leo Watson|Mark Stefani|Nils Gessinger||Pee Wee Erwin||Rejoicensemble|Shadowfax|The David Whiteman Experience|||Windham Hill Records Sampler (Series)|||
Geri Allen|Jeff Beal|Eugene Chadbourne|Jeff DeVillez & Motivo|Bob Enevoldsen|Johnny Ferreira|Garbarek/Hilliard Ensemble|Robert Habermann||Mahalia Jackson|Ken Peplowski Quintet|La Theorie Du Pilier|Moonshine Blues Band|New Orleans Ragtime Orchestra|Oregon Coast Jazz Sextet |Jackie Paris||Rabbit Ears (Series)|Billy Stapleton|Fernando Tarres||Tod Vullo|The W's|||||Alex Clements|Charles Hayward|David Darling|Emily Remler (Tribute)|Frankie Masters|Gerry Wiggins|Hersch Bullen||Jay Brandford|King Eddie|Leon Parker|Mark Trio Ladley|Nils Landgren||Pee Wee Russell||Reminiscence Quartet||The Discocery Rec.Sampler|||Windham Hill Retrospective (Series)|||
|Billy Bean|Philip Chaffin|Bob DeVos|Ethel Ennis|Rachelle Ferrell|Garbarek/Khan|Bobby Hackett||Michael Gregory Jackson|Ken Schaphorst Big Band|La Vienta|Aaron Moore|New Orleans Rhythm Kings|Our House Jazz |Bradley Parker||Raphael Rabello|Starecek/Hermann|Taste Of Swing Time (Series)|||WDR Big Band|||||Alex Cline|Charles Johnson|David Eyges|Emily Saxe|Frankie Newton|Gershwin Scrapbook|Hexum, Zack ||Jay Clayton|King Fisher|Leon Redbone|Mark Trio Shilansky|Nils Lindberg||Peep||Remo Capra|Shag Stevens|The Dixieland Jug Blowers|||Windows|||
Henry "Red" Allen|Jim Beard|Khalil Chahine|Deadline|Enoch Light|Baro Ferret|Jan Garber|Robin Hackett||Milt Jackson|Ken Whiteley Jackie Washington and Mose Scarlett|Joe LaBarbera|Alex Moore|New Orleans Saxophone Ensemble|OUSIA|Cecil Parker||Oscar Rabin|Cootie Stark|Buddy Tate|||Abdul Wadud|||||Alex De Grassi|Charles K. Davis|David Fiuczynski|Emotional Healing|Frankie Trumbauer|Gershwin/Ellington/Monk/Wilson|Hi-Lo's||Jay Collins|King Fleming|Leon Spencer|Mark Turner|Nils Petter Molvaer||Pegasus Project||Renato Anselmi|Shakatak|The Dixieland Ramblers|||Windows (Series)|||
Jackie Allen|Nicolas Bearde|Henri Chaix|Elton Dean|Bobby Enriquez|Glenn Ferris|Garcia Brothers|Jeff Hackworth||Oliver Jackson|Rodney Kendrick|Stephen LaFlora|Bill Moore|New Orleans Traditional Jazz Legends (Series)||Charlie Parker||Abby Rabinovitz|Kay Starr||||Walt Wagner|||||Alex Dean|Charles Kynard|David Friedman (Percussionist)|Emperors New Clothes|Franklin|Gertz/Cervenka|Hicks, Paul ||Jay DAmico|King Henry & The Showmen |Leon Thomas|Mark Vinci|Nils Wogram||Peggie Black||Renaud Garcia?Fons|Shakti|The Doky Brothers|||Winduo|||
Lee Allen|Walter Beasley|||Enriquillo & Latin Jazz Winds|Mike Ferro|Cesar Garcia|Charlie Haden Quartet West|||Bob Kenmotsu|John LaPorta|Dave Moore|The New Power Trio||Evan Parker|||AC Steel & The Galvanizers|Grady Tate|||Jürgen Wagner‑Zucht|||||Alex Deutsch|Charles Linton|David Friesen|Emperors of Swing |Franklin Kiermyer|Giacomo Gates|Hicks/Allison/Brooks/Bobs/Ronk||Jay Epstein|King Oliver|Leon Trio Sash|Mark Walsh|Nina Simone||Peggy Cone||Rene Bartoli|Shakushain|The Double Six Of Paris|||Wingy Manone|||
Michael Allen|Beat Blaser Music Inc|Armen Chakmakian|Alex Dean|Ensemble 9|Bryan Ferry|Jerry Garcia|Haden/Escoude||Ronald Shannon Jackson|Kennedy Brothers||Dorothy Moore|New Spirits In Jazz (Series)||Kim Parker||Rachel Z|Steel Cut Blues Band |Linda Tate||Val Kelly's Jazz Quartet |Marc Wagnon|||||Alex Fish|Charles Lloyd|David Garfield||Franklyn Ortega|Giampiero Quintet Prina|Hicks/Drummond||Jay EuDaly|King Pleasure|Leonard Bechet|Mark White|Nina Storey||Peggy Lee||Rene Bloch Orchestra|Shane Ashley|The D's 3|||Wingy Manone & His Orchestra|||
Red Allen|Beatle Jazz|Curley Chalker||Ensemble Pacific|Fertile Ground|Paulinho Garcia|Haden/Garbarek/Gismonti||Shannon & Decoding Soc Jackson|Joe Kennedy|Andy Laverne|Johnny B. Moore|The New Stanton Band||Knocky Parker||Rad|Stephen Barry Band|Pam Tate||Vassar Clements & The Little Big Band |Wagon Christ|||||Alex Foster|Charles McPherson|David Grisman|Encore|Frantic Flattops|Giancarlo Nicolai|Hicks/Wood Inc.||Jay Hoggard|King Sisters|Leonard Bernstein|Mark Whitfield|Nino Tempo||Peggy Stern||Rene Goodwin|Shane Kelly|The Dude of Life|||Winnie The Pooh (Related Recordings)|||
