|||||||||||||||||||||||||||||||||||||||||||||||||||
8 1/2 Souvenirs |Babkas|Cafe Noir|D's 3|Teddy Edwards|FatMouth|Bill Gaither [Gospel]|Larry Hamilton|Ivan Hunter Group|Jim Jackson|Kerry Kearney|Laing, The Boxcar Joe|Magnificent Seventh's|Kenny Neal|Jim Oliver|Junior Parker|Quartet Music|Raitt, Bonnie|Annie Sampson|Jimmie Tarlton||June Victory & the Bayou Renegades|Robert "Bilbo" Walker|||Zydeco Warriors|||Cal Collins|Dale Bruning Quartet|Earl Hines|Falla Trio|Galas, Diamanda@ |Hair (Related Recordings)|Ian Shaw|J.R. Montrose Quartet|Kansas City Boulevard Big Band|La Rodven Big Band|Maceo Parker|Nalini, Diane |Ohm Guru|Page, Ruby |Quincy Jones|RadioAction|Saft/Vu|Tab Smith|Uncle Art|Valentin Clastrier|Walkup, Cathi ||Yellowjackets |Zenith Hot Stompers
3 Bean Salad |Alice Babs|Cafe Society Orchestra|D‑Day|Clarence Edwards|Jack Fatwall|Rory Gallagher|John Hammond|Marchel Ivery|John Jackson|Keb' Mo'|Paul Lamb|Magnolia Sisters|Raful Neal|Omar|Kenny Parker|Damon Short/Paul Scea Quartet|Ramblin' Thomas|Jake Sampson|Taryn Donath Band||Johnny Vidacovich|Aaron T?Bone Walker||||||Cal Jr. Cobbs|Dale Fielder|Earl Hines & His Esquire All-S|Famoudou Don Moye|Galen Jeter|Hakan Brostrom|Ian Smith|J.r. Quartet Monterose|Kanter William Woods|La Theorie Du Pilier|Machito|Namchylak|Okeh Rhythm & Blues (Series)|Pago Libre|Quintessence Saxophone Quintet|Raf|Sahib Shihab|Tab Two|Uncle Festive|Valerie Capers|Wallace Roney||Yenneh|Zeus Faber
3 For 3: Classic Artists...Only The Hits (Series)|Baby Buddah Heads|Sammy Cahn|DBK Jazz Sampler (Series)|David Honeyboy Edwards|Tom Faulkner|Joe Gallant|Johnny Hammond|Ivory Rose|K.G. Jackson & Shakin' Ground|Preacher Keen|Lamont Cranston Band|Colette Magny|Nearly Blue` It |Omar & The Howlers|Knocky Parker|Quarteto Negro|Kid Ramos|Jesse Samsel Band|Finis Tasby||Patrick Vining & Blue Sharks|Sippie Wallace||||||Cal Pozo|Daline Jones|Earl Hines & His Orchestra|Famous Castle Jazz Band|Galliano|Hal Galper|Ian Wheeler|J.S. Bach|Kaoru Abe|La Vienta|Mack Malone and the Swing Machine |Namorado Y Su Combo|Old & In The Way|Pal Joey|Quintet Of The Hot Club Of Fra|Rag Pickers Of Tokyo|Sainkho|Tacabanda|Uncle Festive |Valerie Jolivet|Waller, Thomas (Fats) ||Yes|Zez Confrey
3rd Force|Baby Face Willie|Jackie Cain|DJ Food|Willie Edwards|Johnny Fegan|Ganafoul|Terry Hanck & Soul Rockers||Melvin "Lil' Son" Jackson|Frank Keith|Byard Lancaster|Taj Mahal|Johnny Neel & the Last Word|One More Mile|Michael Parks|Quartette Indigo|Rick Randlett|Calvin Samuel|Tasso||Eddie 'Cleanhead' Vinson|Wallin`s Blues||Yada Yada|||A Funny Thing Happened On The Way To The Forum (Related Recordings)|Cal Scott|Dallas Jazz Orchestra|Earl Humphrey|Fan Fan La Tulipe|Galloway/Mcshann|Hal Galper Trio|Ian Whitcomb|J.W. Jones Blues Band|Kaplan, Ron |Laco Deczi|MacPherson/Jones/Swainson|Nana|Old And New Dreams|Pal Joey (Related Recordings)|Quintet Of The Hot Club Of San|Rags To Rhythms|Sainkho Namchilak|Tacuma/Alston|Undergroove|Valery Kiselyov|Wally Kurth||Yo Miles |Ziad
4cd|Babyface||DJ Krush|Ana Egge|Felix and All The Cats Swing Band|Steve Gannon Band|W.C. Handy||Milt Jackson|Keller Brothers Band|Ernie Lancaster|Mark Mahar|Neighbor Dave|One Too Many|Rob Roy Parnell|Quatre|Joyce Randolph|San Diego Blues Jam|Baby Tate|U.N.L.V.|Vipers|Bob Walsh||Michiyo Yagi|||A La Carte Brass & Percussion|Cal Tjader|Dallas Johnson|Earl Klugh|Fania All Stars|Galt MacDermot|Hal Gaylor|Ice|Jabbo Smith|Karaoke|Laco Johnson|Madala Kunene|Nana Vasconcelos|Old Rummies Jazz Jam Band |Palle Danielsson|Quintetto Vocale Italiano?Le P|Ragtime (Related Recordings)|Sal Nistico|Tad Shull|UnDuLaTiOnS, The |Valery Ponomarev|Wally Rose||Yo-Yo Ma|Ziegler
5 After 4|Stephen Bacchus|Michael Cain|DJ Smash|Cliff Eidelman|Christopher Felts|Cecil Gant|Per Hanson||Papa Charlie Jackson|Kelly Bell Band|Sonny Landreth|Big Joe Maher|Beaver Nelson|Original Memphis Five|Greg Pasenko Band|Que Calor|Raoul and The Big Time|Fred Sanders|Pam Tate|U.S. Air Force Airmen Of Note|Bill Vitt|William Walton||Sam Yahel|Matthew Zacharias||A Touch of Jazz |Calfee Jones and the 8 Beats |Dalle, Sophia |Earl New Orleans Jazz Scheelar|Fantastic Voices Of Harmony|Gamalon|Hal Kemp|Icon|Jacek Kochan|Karayorgis/Pakula|Lacy, Bruce |Maddy Prior|Nancie Banks|Old Spice Boys |Palmer/Ambercrombie/Blythe/Lew|Quintetto X|Rahala|Sal Salvador|Tad Sisler|Unforgettable Standards|Van Manakas|Wally Schnalle||Yochanan Sebastian Winston|Ziggy Elman & His Orchestra
8 1/2 Souvenirs |J.S. Bach|Mike Cain|DJ's Choice (Series)|Jason Eklund|Fenton, P.W. & The Second Ward|Jerry Garcia|Slavek Hanzlik||Willis Jackson|The Kelly Brothers|Mitch Landry|Sidney Maiden|Henry Nelson|Original Woodoo ChiLi, The|Passe Partout Band|Ike Quebec|Al Rapone|John Lee Sanders|Tommy Tate|UNLV Jazz Ensemble|Jimmy Vivino & the Rekooperators|Walter Vincson||Joh Yamada|Zahar||A Windham Hill Collection|Calhoun, Cynthia |Dalton Gang, The |Earl Rose|Fantasy Band|Gamut of Crime|Hal Kemp & His Orchestra|Ida Cox|Jacintha|Karen Gallinger|Lacy/Gysin|Made In The Shade|Nancy Goodwin|Olde Piano Rolls|Palmieri/Ruiz||Rahn Burton|Salim Washington & Rba|Tadd Dameron|Unified Jazz Ensemble|Vana|Wally Shoup||Yockamo All-Stars|Zim Zemarel & His Orchestra
9 Lazy 9|Ray Bach|Uri Caine|DJQ20|Roy Eldridge|Robert 'H?Bomb' Ferguson|Paul Gargiulo|E. Y. Harburg||Illinois Jacquet|Dave Kelly|Glenn Lane|Malemen|Jimmy Nelson|Michael Osborn|Patrix|Alvin Queen|Moses Rascoe|Jumpin' Johnny Sansone|Alex Taylor|Ugetsu|Dan Voll|Warren Mann Blues Band||Yamagata|The Zoe B. Zak Ensemble||A Winter's Solstice (Series)|Califas Rhythm Ensemble|Dameronia|Earl Turbinton|Far East|Ganelin Trio|Hal McKusick|Ida Zecco|Jack & Hard Corps Walrath|Karen Mantler|Lacy/Potts|Madeline Bell|Nancy Harrow|Oleta Adams|Pam Drews Phillips||Rahsaan Roland Kirk|Sally Burgess|Tadia||Vandermark 5|Wally's Swing World ||Yohichi Murata|Zimbo Trio
3 Amigos and Steve, The|Steve Bach|Al Caiola|DMP Big Band|Electric Blues Duo|Steve Ferguson & the Midwest Creole Ensemble|Terry Garland|Heather Hardy||Chris Jagger|Jo?Ann Kelly|Jimmy D. Lane|Peter Malick|Nelson Lunding & Blues in the Pocket|Anders Osborne|Neal Pattman|Quest|Eomot RaSun|Santana|Eddie Taylor|Gebhard Ullman|Voodoo Roosters|Bill Ward||Tsuyoshi Yamamoto|Zakiyah||A. A. Milne|California Swing Cats|Damon Short|Earth Wind & Fire (Tribute)|Fareed Haque|Gap Mangione|Hal Mooney|Idina Menzel|Jack Big Band Sharpe|Karen Stachel|Lacy/Rudd|Madeline Eastman|Nancy Kelly|Olga Guillot|Pam Howe||Rain Dance|Sally Shuffield|Taft Jordan|Union Square Group |Vanderstraeten/Sourisse/Charli|Walt Dickerson||Yonni Fischer|Zinkl
5:01 Blues Band|Burt Bacharach|Joey Calderazzo|Paulinho Da Costa|Electric Sky|Russell Ferrante|Al Garner & the Roadrunners|Pat Hare|I Got Rhythm|Ahmad Jamal|Paul Kelly|Eddie Lang|Bob Malone|Oliver Nelson|Tim Osburn|Charley Patton|Quiet Boys|Eddy Raven|Sarasota Slim|Eva Taylor|James Blood Ulmer||Robert Ward||Stomu Yamashta|Danny Zamir||A.k. Salim|Call Boys Call Incorporated|Damon Short/Paul Scea Quartet|Eason, Johnnie |Farino, Julia |Garage a Trois|Hal Russell NRG Ensemble|Idrees Sulieman|Jack Brownlow|Karin Barber|Lacy/Watson|Madeline MacNeil|Nancy Lamott|Oliver Jackson|Pam Munter||Rainbow|Salsa Picante|Tahar|United Future Organization|Vanessa Daou|Walt Wagner||York, Libby |Zipflo Quartet Weinrich
