Abominator|Badtown Boys|Candlebox|Damn Yankees|Eldritch|Fallen Angels|Gates Of Ishtar|Hair Of The Dog (Rock)|Illwill|Jane's Addiction|Kicking Harold|Labyrinth||Nasty Savage|Oil Seed Rape|Pain Station||Racer X|Steel, Eric|Pat Travers|Uncle Ho|Vandenberg|Webster, Max|||Zorn Gottes
Above All|Baffdecks|Candlelight Collection (Series)|Damnation|Electrasy|Fandango|Gathering|Haji's Kitchen|Iluvatar|Joplin, Janis|Kid Rock|Lacrimosa||Nasum|Oiler|Painflow||Radakka|Stealers Wheel|Trower, Robin|Uncle Sam|Vandermark 5|White, Michael|||
Abraxas|Baktabak Interview (Series)|Candlemass|Damned|Electric Hellfire Club|Fantomas|Gaye Bikers On Acid|Halford|Immolation|Jaww|Killers|Lacuna Coil||Natas|Omen|Paingod||Radio Iodine|Simmons, Gene|Tompkins, Ross|Uncurbed|Vanilla Fudge|Way, Pete|||
Abruptum|Bal Sagoth|Candysuck|Damned Nation|Electric Wizard|Faster Pussycat|Gaye Bykers On Acid|Hallows Eve|Immortal|Jayhawks|Killing Addiction|Laidlaw|McDonald, Ian|Nation|On Thorns I Lay|Painkiller||Rage|Slick, Grace||Under The Noise|Vardis|Wyatt, Robert|||
Abscess|Balance Of Power|Cannibal Corpse|Dandelion|Electric Wizard/Orange Goblin|Fastway|Geezer|Hammerfall|Impaled|Jefferson Airplane|Killing Miranda|Lake Of Tears|Martin, Jim|Nation Of Fear|One|Pakeni||Rage Against The Machine|||Under the Sun|Various Artists - Alternative|Wood, Roy|||
Absconded|Baltimoore|Canorous Quintet|Danger Danger|Elegy|Fat Tuesday|Geezer Lake|Hammerhead|Impaled Nazarene|Jefferson Starship|Killing Time|Lamb of God|Martyn, John & Beverley |Nazareth|One Eight Seven|Pamela Painter||Raging Slab||T Bell1|Underdog|Various Artists - Alternative - Indie Rock||||
Absu|Bambix|Capitalist Casualties|Dangerous Toys|Elend|Fatal Embrace|Gehennah|Handsome|Impellitteri|Jerry's Kids|Killrays|Lana Lane|Martyn, John|Nazxul|One Minute Silence|Pan-Thy-Monium||Raid|Stradlin, Izzy|T.N.T.|Undertow|Various Artists - Alternative - Industrial||||
Abyss|Ban Jyang|Capitol Collectors Series|Danzig|Eleven Pictures|Fates Warning|Government Mule|Hanoi Rocks|Imperium|Johnson, Jesse|Killtrain|Land of the Loops|McLaughlin, John |Nebula|One Way System|Pantera||Railway Train Music|Satriani, Joe|T.S.O.L.|Unholy|Various Artists - Alternative - Punk|Walsh, Steve|||
Abyssos|Bang Bang|Capricorn|Dark|Elf|Fatso Jetson|Generation|Happy Hour|In Battle|Jester's March|Kina|Lanzer|Miles, John|Necromantia|Only Living Witness|Pantera (Tribute)||Rain Still Falls|Stump, Joe|T.T. Quick|Union|Various Artists - Rock - Metal|Who, The|||
Accept|Bang Tango|Captain Beyond|Dark Angel|Embalmer|Faust|Genetic Wisdom|Hard Corp.|In Denial|Jesus Christ Superstar (Related Recordings)|King Crimson (Tribute)|Last Chapter|Mitchell, Kim|Necrony|Only The Strong (Series)|Panteras||Rainbow|Sykes, John|Tad|Union|Vast|Whores of Babylon, The|||
Accused|Bang Your Head - Best Of 80's Metal (Series)|Captor|Dark Funeral|Embodyment|Fe26|Genocidio|Hard Rock Cafe (Series)|In Extremo|Jetboy|King Diamond|Last Resort|Modesitt Jr., L.E.|Necrophobic|Onslaught|Papa Roach||Rainbow & Stars|Samson, Lisa|Taetowierte Jungs|Union 13|Velvet Acid Christ|W.A.S.P.|||
Accuser|Bar 7|Carbonized|Dark Tranquillity|Embrace (UK)|Fear Factory|Gentle Giant|Hard Rock Essentials (Series)|In Line|Jethro Tull|King Kobra|Laurels|Mattsson, Lars Eric|Necrosanct|Oomph!|Paranoise||Rainbow (Tribute)||Talas|Union Underground|Venom|WWF Superstars|||
Acheron|Baron Rojo|Carcass|Darkane|Embryo Killers|Fear Of God|Geordie|Hard Stance|In Ruins||King Kurt|Laurnea|M.D.C.|Necrosis|Opeth|Pariah||Raise Hell|Shelton, Mark|Tales From The Crypt (Related Recordings)|Unleashed|Venom (Tribute)|WWF: The Music (Series)|||
Acid Bath|Bastard|Carlos Creator|Darkness|Emergency|Fearless Iranians From Hell|Georgia Satellites|Hard-Ons|In The Colonnades|Jimmies|King's X|Lavatory|M.O.D.|Negu Gorriak|Opposite Earth|Pathos||Rammstein|Snow, Mark|Taliesin Orchestra|Unlimited Beat|Verbal Abuse|Waan|||
Acrimony|Bastro|Carnal Forge|Darkseed|Emils|Feedtime|Giant|Hardline|In The Name|Jett & The Blackhearts, Joan|Kinghorse|Leadfoot|M.P.B.||Oppressor|Paul DiAnno||Ramones|Schenker, Michael|Talisman|Unwritten Law|Vermin|War & Peace|||
Adema|Bathory|Carnivore|Darkside|Emperor|Feel So Bad|Giant Sand|Hardvark|In The Woods|Jock Rock (Series)|Kinsky|Leather Strip|MC5|Nelson|Opthalamia|Paw||Rancid Hell Spawn|Schon, Neal|Tank|Urge Overkill|Veruca Salt|War Called Peace|||
Adicts|Baton Rouge|Carpathian Forest|Darkthrone|Empty Grave|Fetish 69|Gigantor|Harley-Davidson Cycles (Series)|In the Nursery|Joe Became Judas|Kiss|Led Zeppelin|MXPX|Neolithic|Oracle|Peace Sanctuary||Random Killing|Suitner, Otmar|Tankard||Veto|Wardog|||
Adolescents|Battlecade Extreme Fighting|Carrynation|Darxtar|Enchant|Fifi|Girl|Harvey Danger|Inc|Johansson/Holdsworth/Johansson|Kiss It Goodbye|Led Zeppelin (Tribute)|MacAbre|Nervouz|Orange 9mm|Pearl Jam||Rata Blanca|Stanley, Paul|Tarantula|Utopia|Vicious Circle|Warfare|||
Adramelech|Battlezone|Cartilage|David Lee Roth Band|Enemymine|Fifth Angel|Girls Under Glass|Haste|Incantation|James, John|Kiss Me Screaming||MacAlpine/Auldridge/Rock/Sarzo|Network|Organic Infest|Peat Moss||Ratt||Tasos||Vicious Rumors|Wargasm|||
Adrenalin Kick|Bbm|Casanova|Dawn|Engine|Fight|Girlschool|Hatchet For Hone|Incubator|Paul Jones, John|Kittie||Machine Head|Neurosis|Orgy|Pendragon||Raven|Sambora, Richie|Tattoo Rodeo||Victor|Warhead|||
Adversam|Beat Happening/Screaming Trees|Cash Money|Dawn Of Dreams|English Dogs|Filthboy|Giuffria|Hate Eternal|Incubus|John Wetton/Phil Manzanera|Kix|Leeway|Mad Mongols|Neurotic Outsiders|Orion|Penetralia||Ravenous|Stewart, Rod|Tea Party||Victory|Warhorse|||
Adverts|Beatnigs|Casket|Day Houston|Enrage|Final|Gladhands|Hate Plow|Indecision|Joshua|Konkhra|Lefay|Madball|Neurotica|Out Of The Box (Series)|Penny Dreadfuls||Raw Power|Stolt, Roine|Teaser||Victory At Sea|Warlock|||
Aerosmith|Beaver|Catch 22|Dayglo Abortions|Enslaved|Final Conflict|Glam Rock: The 80's (Series)|Hatebreed|Indian Red|Journey|Korn|Left Hand Solution|Maelstrom|Nevermore|Outlast|Pentacrostic||Rawside||Teaze||Videodrone|Warlock/Vaughan Williams|||
Aeternus|Beavis And Butt-Head (Related Recordings)|Catch the Rainbow|Dazzling Killmen|Enthroned|Final Exit|Glassjaw|Haunted|Indungeon|Judas Factor|Korpse|Left Insane|Magma|New American Shame|Over Kill|Pentagram||Razor|S.N.F.U.|Teddybears||Vine|Warlord|||
After Hours|Beherit|Catfish|De Infernali|Entombed|Finger Eleven|Gluecifer|Haunted House|Infectious Grooves|Judas Priest|Koxbox|Legal Weapon|Magnitude 9|New Eden|Overcast|Pentangle||Recharge|SEX MACHINEGUNS|Teddybears Stklm||Vinterland|Warrant|||
Afterworld|Belladonna|Cathedral|Dead Amanda|Entwined|Fishwife|Goanna|Hawkwind|Infernäl Mäjesty|Judas Priest (Tribute)|Kraftwelt|Legends Of Guitar (Series)|Magnum|New Idol Son|Overdose|Perpetua||Red Alert|SRC|Temple of the Dog||Vio-Lence|Warrior|||
Agalloch|Belmetz|Catherine Wheel|Dead Beat|Enuff Z'nuff|Fist Of The North Star|Goblin|Headlock|Infestdead|Jungle Rot|Kreator|Leningrad Cowboys|Mahogany Rush|New Jerusalem|Overdrive|Pete Townshend (Tribute)||Reef|Sabu (Rock)|Ten||Virgin Steele|Warrior Soul|||
Agathocles|Belphegor|Cave-In|Dead Horse|Episode Six|Five Seconds Expired|God Dethroned|Headshop|Inhaler|Junkie XL|Kristofferson, Kris|Lethal|Malevolent Creation|New Race|Overload|Phantom||Rejuvenate|Sacramentum|Ten Years After||Vision of Disorder|Wasted Youth|||
Agathodaimon|Benedection|Cavity|Dead Orchestra|Epoch Of Unlight|Flash|Goddess of Desire|Heart|Inner Shrine|Junkyard|Krisiun|Leukemia|Malformed Earthborn|New Speedway Kings|Osbourne, Ozzy (Tribute)|Phenomena||Relative Ash|Sacred Mushroom|Tender Fury||Vitamin F|Weapon Of Choice|||
Agent Steel|Bennet|Celebrity Skin|Dead Voices On Air|Erebus|Fleischm|Godflesh|Heartbreakers|Inner Thought|Jagger, Mick|Krokus|Liberator|Malice|New Sweet Breath|Osbourne, Ozzy|Phobia||Release|Sacred Reich|Tenebra||Viva|Wehrmacht|||
Agents Of Oblivion|Benumb|Celestial Season|Deadbeats|Eric Gales Band|Flesh Eaters|Godgory|Heartland|Innermeans|Jackson, Randy|Krystal|Lick 57's|Malteze|New York Dolls||Pickin' On (Series)||Release Your Mind (Series)|Sacred Sin|Tenebris||Vixen|Weltenbrand|||
Agoraphobic Nosebleed|Beowulf|Celluloid Mata|Deadly Blessing|Ethereal Scourge|Flesh Parade|Godhead|Heaven & Earth|Innocents|Jordan, Sass|Kubla Kahn|Liege Lord|Man|Newtown Neurotics, The ; http://www.neurotics.org.uk/||Pike||Renfield|Sacred Steel|Teremaze||Voivod|West Bruce & Laing|||
Agression|Bergthron|Celtic Collections (K-Tel Series)|Deadsy|Ethoriah|Fleshcrawl|Godsend|Heavenwood|Insane||Kyuss|Life Of Agony|Maniac|Niacin||Piledriver||Replacements|Sacrifice|Terror X||Vomitory|Whiplash|||
Agressor|Berliner Philharmoniker|Celtic Frost|Dearly Beheaded|Europe|Floodgate|Godsmack|Heavy Metal Hits Of The '80s: Youth Gone Wild (Series)|Insane Clown Posse|Jones, Steve|Kilminster, Lemmy|Lightmare|Manic Street Preachers|Nickelback||Pink Cream 69||Replicants|Sacrilegium|Terrorizer||Vond|White Trash|||
Aimless|Butler, Bernard |Cemetary|Death|Everclear|Flotsam & Jetsam|Godstar|Heavy Metal Horns|Inside Out||Kelley, Ma|Limp Bizkit|Mannerheim|Nicklebag||Pink Floyd||Repression|Sacrilige|Terrorvision||Vulcano|White Wolf|||
Ain't Dead Yet|Berzerker|Centers|Death Angel|Everdark|Flowchart|Godz|Hecate Enthroned|Inspecter 7||Michael Kiske|Linkin Park|Manowar|Nicodemus||Pissing Razors||Respect|Sadist|Tesla||Varla, Zubin|White Zombie|||
Aion|Beseech|Chandalier|Death By Stereo|Everdawn|Foghat|Golden Earring|Hecateenthroned/Abigor/Nazxul|Insted||Kantner, Paul|Lion's Share|Marduk|Night In Gales||Pist-On||Restless|Sadistik Exekution|Testament|||Whitesnake|||
Air Supply|Best Album In The World Ever (Series)|Change Of Heart|Death Cube K|Everdown|Fonya|Golem|Helen 55|Instigators||Kotzen, Richie|Lionrock||Night Ranger||Pitch-Shifter||Reverend|Sadus|Thanatos|||Whitford/St. Holmes|||
Airborne|Better Than A Thousand|Chaotic Past|Death Cult|Evereve|Foo Fighters|Gomorrah|Helix|Integrity||Kinks, The|Lionsheart|Manson, Marilyn|Nightfall||Pitchblende Quartet||Rhapsody|Saga|Theatre of Hate|||Whorgasm|||
Alabama Thunder Pussy|Bewarp|Chastain|Deathmeister|Evildead|Forbidden|Gong|Hellacopters|Integrity 2000||Kuprij, Vitalij|Liquid Hips|Manson (Tribute), Marilyn|Nighthawks||Pitchshifter||Righteous Metal|Saga (French)|Theatre of Tragedy|||Wicker Man|||
Alcatrazz|Bewitched|Cheap Trick|Deathwitch|Ewigkeit|Forbidden Fate|Goo Goo Dolls|Hellhammer|Internal Bleeding||Kramer, Wayne|Lisa Gives Head|Marionetz|Nightingale||Planet Hate||Rigor Mortis|Saidchild|Thelema|||Wild Strawberries|||
Algaion|Beyond|Cheater|Deceased|Excel|Foreigner|Good Rats|Hellhole|Internal Decay|||Lithops|Mars Needs Women|Nightstick||Planet Hemp||Rio|Saidiwas|Theory In Practice|||Wildhearts|||
Alice Cooper (Tribute)|Beyond Dawn|Cheer-Accident|Decoryah|Exciters|Forkeye|Gorefest|Hellion|Internal Void|||Little Feat|Martha & The Muffins|Nightwing||Planet X||Riot|Saigon Kick|Therapy?|||Will Haven|||
Alice In Chains|Big Brother|Chelsea|Deeds of Flesh|Excruciating Pain|Forte|Gorgoroth|Helloise|Interview: Marilyn Manson|||Live At The Roxy (Series)|Mason|Nightwish||Plankeye||Ritual|Saint Vitus|Therion|||Williams/Heltir|||
