5.Avenue|Backseat ; http://www.juhu.dk/ivan/|Caracas|Dandy Swingers|Elephant Poetry  ; http://www.elephantpoetry.com/|Fiber|Gianina ; http://www.gianina.dk/|Hancats ; http://www.hancats.dk/|Ingvordsen, Kynne|JayBee ; http://www.jaybee.dk/|Kellermann, Lone|Lars Muhl ; http://www.larsmuhl.com/|Malle Travellin´ Band ; http://www.malletb.dk/|Natural Born Hippies ; http://www.popshit.dk/|Older Than Before ; http://www.before.dk/|Party Animals ; http://www.partyanimals.dk/||Rasmussen, James|Sascha Dupont ; http://www.saschadupont.com/ |Temple X44|URD|Vestjydsk Rock Kapel ; http://www.vrk.internet.dk/|Way Back When|||ZZ TOP Jam ; http://www.zz‑top‑jam.dk/|||
7"Rockers  ; http://www.7inchrockers.com/|Bacon ; http://www.baconband.dk/|Caravans, The |Danish Sharks, The     |Elektrikalorius ; http://www.elektrikalorius.com/|Fields Of Neglected Times|Gibberish|HandPainted ; http://www.daimi.au.dk/~elmer/hp/|Innocent Blood ; http://www.innocentblood.dk/ |Jay Kid ; http://www.jaykid.dk/|KennethsFarm|Lasse Lindorff ; http://www.lindorff.dk/|Malurt ; http://www.falch.dk/falch/|Nectar|Old Man And The Sea|Party Patrol ; http://www.partypatrol.dk/||Ray Dee Ohh|Sasha Bach ; http://www.sashabach.com/|Ten a.m.  ; http://tenam.dk/|Utah|Vestjydsk Veteranband ; http://www.the‑djangoes.dk/|West Boys||||||
|Bagdad Dagblad  ; http://www.bagdaddagblad.dk/|Cardiac ; http://www.mymusic.dk/bands/Cardiac‑Arrest/?vis=profil|Dansekompagniet ; http://www.dansekompagniet.dk/|Element|Fielfraz ; http://www.myspace.com/fielfraz|GilGonGo ; http://www.gilgongo.dk/|Hangovers ; http://www.leftovers.dk/|Inside The Whale|Jeanett Debb ; http://www.jeanettdebb.dk/ |Kick The Kangaroo ; http://www.kickthekangaroo.com/|Late Night Radio|Mama said ; http://www.mamasaid.dk/ |Neal Brophy Band & Fiddler On The Hoof|Ole Boskov  ; http://www.boskov.dk/ |Patriz ; http://www.patriz.dk/||Reaxion ; http://www.reaxion.dk/|Savage Affair ; http://www.savageaffair.dk/|Tenderloud  ; http://www.tenderloud.dk/|Untamed, The ; http://www.theuntamed.dk/|Via|Westergaard, Lasse||||||
A Wonderful Garden|Bahnhof|Caroline Henderson ; http://www.carolinehenderson.com/|Danseorkestret ; http://www.danseorkestret.dk/ |Elopa  ; http://www.elopa.com/|Final Wham, The  ; http://www.thefinalwham.dk/|Girlfriends|Hans Jørn Østerby ; http://www.hansjornosterby.dk/ |Inside Trading|JEEL|Kim Larsen ; http://www.kjukken.dk/|Latin Dance Band  , http://www.latindanceband.dk/|MAN|Neighbours ; http://www.neighbours.dk/|Olesen‑olesen ; http://www.olesen‑olesen.dk/|Passion Orange||Recoil|Savage Rose ; http://www.savagerose.com/ |Tennis||Vicias Passion ; http://www.vicious‑passion.dk/|What´s That Sound||||||
A.P. Møller Band|Balance  ; http://www.balancemusic.dk/|Carpark North ; http://www.carparknorth.com/ |Danser med drenge ; http://www.dansermeddrenge.dk/|Eloquent ; http://www.eloquent.dk/|Finally ; http://www.finally.dk/|Gloom ; http://www.gloom.dk/index.htm |Hans Knudsens Plads ; http://www.hansknudsensplads.dk/|Insidious Torment ; http://www.insidioustorment.com/|Jeremiah ; http://www.jeremiah.dk/|Kim Schwartz ; http://www.kim‑schwartz.dk/|Law, The|Mannotmachine|Nekromantix  ; http://www.nekromantix.com/|Olsen, Allan  ; http://www.allanolsen.dk/|Peaches & Bobo||Red Hot Chili Peppers JAM , http://www.redhotjam.dk/|Saybia ; http://www.saybia.dk/|Terji Messell ; http://www.terjimessell.dk/||Villa ; http://www.villaband.dk/ |WhenHipposLaugh , http://www.whenhipposlaugh.dk/ ||||||
Ab I Nitio|Ballet Mecanique  ; http://www.martinhall.com/diskografi.asp|Carpe Diem ; http://carpediempunk.dk/|Darkland|ElvisShow ; http://www.elvisshow.dk/main.htm|Finders Keepers ; http://www.finderskeepers.dk/ |Gnags ; http://www.gnags.dk/ |Happy Harriet|Insight|Jesters, The|Kindergarden Jam|Lea Nielsson ; http://nilsson.adr.dk/ |Mantric Muse ; http://www.mantricmuse.tavshed.dk/|Nephew ; http://www.nephew.dk/|On Elvis|Peak||Red Squares|Scannelyze Mizz Annelyze|That´s why||Vildensky ; http://www.vildensky.dk/|Who Brought The Bitch ; http://www.wbtb.person.dk/||||||
ABBA ‑ On The Road Again ; http://www.abba‑ontheroadagain.dk/ |Bamboo Brothers |Carsten Lykke ; http://www.carstenlykke.dk/|Darleens ; http://www.darleens.dk/|En Romhandlers Farvel|Finn Iversen|Godless Wicked Creeps ; http://www.godlesswickedcreeps.com/|Happiness ; http://www.happiness.dk/|In spite of me ; http://www.inspiteofme.com/|Jetsons Avenue|King Foo ; http://www.kingfoo.dk/|Le Freak ; http://www.lefreak.dk/|Maria Montell ; http://www.mariamontell.dk/|Nerve|On Location ; http://www.onlocation.dk/|Peggy O Pee ; http://www.peggyqpee.dk/||Regulataz|Scarlets, The|THAU||Vi Unge Live ; http://www.viungelive.dk/|Who´s Sorry Now||||||
Abba Revivel Band,|Bamses Venner ; http://www.bamsesvenner.dk/|Cartoons|Davenport|End My Sorrow ; http://www.endmysorrow.dk/|Finn "Old Blue" Luck ; http://www.danskmusik.com/dmfbook/rockkopi/html/old_blue.html|God`s Comic ; http://www.godscomic.dk/|Hard To Beat|Instant Noodles ; http://www.instant‑noodles.dk/|Jette Torp ; http://www.jettetorp.dk/|King Simon|Learning from Las Vegas ; http://www.learningfromlasvegas.com/|Marie Carmen Koppel ; http://www.mariecarmenkoppel.dk/ |News|On Trial ; http://www.ontrial.suite.dk/|Pemis||Rejs jer op ; http://www.rejsjeropogdans.dk/|Scavengers, The|The Alpine ; http://www.thealpine.dk/||Viva Vertigo|Why Anonymous ; http://www.why‑anonymous.com/||||||
Abrahamsen, Peter  ; http://www.peterabrahamsen.dk/|Banks, Paul David|Carver ; http://www.carveronline.dk/|David Bowie Experience ; http://www.davidbowieexperience.dk/|Enola ; http://www.enola.dk/|Firefly ; http://www.fireflyonline.dk/|Goldfinger|Harry Lime ; http://www.harrylime.org/|Instant On ; http://www.dissing‑online.dk/instant/|Jime, The ; http://www.the‑jime.dk/dansk.htm|Kinguru  ; http://www.kinguru.dk/|Lebowski|Marie Frank ; http://www.mariefrank.dk/|Nice Device|One|People Of The Sun ; http://www.peopleofthesun.dk/||Reluxe  ; http://www.reluxe.dk/|Schmidt & Co ; http://www.schmidt‑og‑co.dk/|The Bats ; http://www.bats.dk/||Vizki, Morti|Wicked Ways ; http://www.wickedways.dk/||||||
Absolut Vallekilde|Barbados Swing ; http://www.barbadosswing.dk/ |Casette|The Dawn|Ensemble Orlando ; http://www.ensemble‑orlando.dk/|Fischer-Nielsen, Jan|Gorgonzola ; http://www.gorgonzola‑band.dk/Forsiden.htm|Hawk ; http://www.brighthawk.dk/|Instant Pleasure|Jitterboys ; http://www.jitterboys.dk/|Kinky Boot Breast|Leftovers  ; http://www.leftovers.dk/|Mark, Janne ; http://www.jannemark.dk/|Nice Little Penguins ; http://www.nicelittlepenguins.dk/|One Two ; http://www.rockdoc.dk/art10118.html|Per Kristensen Band||Remain|Schwarz Library ; http://www.schwarzwaldlibrary.dk/|The Black Rose||Vogel, Karsten|Wild Evil Entertainment Dept.  ; http://www.weed.dk/||||||
